pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
546.0,5127.0,-6.9,-24.9,254.0,26.0,24.992804094396295,7.166571251241971,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
529.0,5374.0,-7.5,-43.5,243.0,31.0,27.621202249839403,14.073705491925955,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
524.0,5447.0,-8.1,-41.2,240.0,33.0,28.578838324886465,16.500000000000014,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
508.0,5688.0,-10.0,-33.6,245.0,34.0,30.8144647592461,14.369020899183772,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
507.0,5703.0,-10.1,-33.1,246.0,34.0,31.060545559848432,13.829045864577203,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
500.0,5810.0,-11.1,-36.1,250.0,33.0,31.00985648593498,11.286664729747063,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
493.0,5918.0,-11.8,-40.3,250.0,33.0,31.00985648593498,11.286664729747063,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
492.0,5933.0,-11.9,-40.9,250.0,33.0,31.00985648593498,11.286664729747063,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
486.0,6027.0,-12.6,-35.6,250.0,36.0,33.828934348292705,12.312725159724067,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
483.0,6074.0,-12.9,-32.9,250.0,37.0,34.76862696907861,12.654745303049737,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
478.0,6153.0,-13.3,-37.8,250.0,39.0,36.64801221065043,13.338785589701073,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
473.0,6233.0,-13.7,-42.7,254.0,40.0,38.45046783753276,11.025494232679955,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
472.0,6249.0,-13.8,-42.5,255.0,40.0,38.63703305156273,10.352761804100826,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
458.0,6473.0,-15.6,-40.4,260.0,37.0,36.437886861451695,6.424982573676422,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
451.0,6587.0,-16.5,-39.3,250.0,39.0,36.64801221065043,13.338785589701073,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
445.0,6687.0,-17.3,-38.3,255.0,42.0,40.56888470414087,10.870399894305866,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
438.0,6805.0,-18.3,-37.2,250.0,47.0,44.1655531769377,16.074946736306423,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
411.0,7278.0,-22.1,-32.6,245.0,52.0,47.1280049259058,21.976149610516355,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
400.0,7480.0,-23.7,-30.7,250.0,56.0,52.62278676401087,19.15312802623744,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
386.0,7739.0,-25.9,-30.9,250.0,60.0,56.381557247154504,20.521208599540113,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
381.0,7833.0,-26.6,-32.6,250.0,61.0,57.321249867940416,20.863228742865783,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
369.0,8063.0,-28.1,-36.6,245.0,59.0,53.472159435162354,24.93447744270125,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
362.0,8201.0,-29.1,-39.1,245.0,59.0,53.472159435162354,24.93447744270125,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
361.0,8220.0,-29.3,-37.3,245.0,59.0,53.472159435162354,24.93447744270125,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
359.0,8260.0,-29.3,-36.3,245.0,59.0,53.472159435162354,24.93447744270125,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
358.0,8280.0,-29.3,-36.3,245.0,60.0,54.378467222199006,25.35709570444195,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
354.0,8360.0,-29.1,-37.1,245.0,62.0,56.191082796272305,26.20233222792335,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
350.0,8441.0,-29.7,-37.7,245.0,64.0,58.0036983703456,27.047568751404746,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
349.0,8462.0,-29.9,-37.9,245.0,64.0,58.0036983703456,27.047568751404746,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
345.0,8543.0,-30.6,-39.1,245.0,64.0,58.0036983703456,27.047568751404746,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
335.0,8751.0,-32.3,-42.1,245.0,64.0,58.0036983703456,27.047568751404746,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
333.0,8794.0,-32.7,-42.7,245.0,65.0,58.910006157382256,27.470187013145445,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
318.0,9116.0,-35.1,-44.1,249.0,69.0,64.41704942830691,24.727388518625748,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
315.0,9182.0,-35.3,-44.3,250.0,69.0,64.83879083422768,23.59938988947113,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
313.0,9226.0,-35.7,-44.1,250.0,70.0,65.77848345501359,23.9414100327968,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
300.0,9520.0,-38.1,-43.1,255.0,71.0,68.58073366652386,18.376152202278966,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
291.0,9729.0,-39.6,-43.5,255.0,73.0,70.51258531910199,18.893790292484006,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
288.0,9800.0,-40.1,-43.6,255.0,72.0,69.54665949281292,18.634971247381486,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
280.0,9990.0,-41.6,-46.1,255.0,70.0,67.61480784023477,18.117333157176443,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
265.0,10362.0,-44.5,-51.1,255.0,68.0,65.68295618765664,17.599695066971403,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
262.0,10439.0,-45.1,-52.1,255.0,68.0,65.68295618765664,17.599695066971403,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
251.0,10724.0,-47.7,-53.8,255.0,67.0,64.71703036136758,17.340876021868883,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
250.0,10750.0,-47.9,-53.9,255.0,67.0,64.71703036136758,17.340876021868883,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
236.0,11126.0,-51.4,-56.1,260.0,64.0,63.02769619278131,11.113483370683541,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
231.0,11266.0,-52.7,-56.9,260.0,66.0,64.99731169880573,11.460779726017401,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
229.0,11322.0,-53.2,-57.7,260.0,67.0,65.98211945181794,11.634427903684331,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
222.0,11521.0,-54.9,-60.5,260.0,69.0,67.95173495784235,11.981724259018193,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
219.0,11608.0,-55.7,-61.7,261.0,70.0,69.13818384165964,10.950412552816173,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
215.0,11725.0,-56.7,-61.7,263.0,71.0,70.47077676653387,8.65272338176545,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
210.0,11874.0,-57.7,-63.3,265.0,72.0,71.72601826260568,6.275213477831394,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
207.0,11964.0,-58.3,-64.3,265.0,71.0,70.72982356451394,6.188057735083736,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
205.0,12025.0,-58.9,-64.9,265.0,70.0,69.7336288664222,6.100901992336078,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
202.0,12118.0,-59.7,-65.7,265.0,71.0,70.72982356451394,6.188057735083736,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
200.0,12180.0,-59.7,-66.7,265.0,71.0,70.72982356451394,6.188057735083736,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
195.0,12338.0,-59.3,-66.3,259.0,78.0,76.56692030891779,14.88310163937048,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
184.0,12699.0,-60.7,-68.7,246.0,94.0,85.87327301840449,38.23324444912521,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
183.0,12733.0,-60.7,-68.8,245.0,96.0,87.0055475555184,40.571353127107116,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
176.0,12974.0,-60.7,-69.7,248.0,104.0,96.42712087494589,38.95908571525488,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
172.0,13117.0,-60.5,-69.5,249.0,109.0,101.76026648819497,39.06210650043778,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
170.0,13189.0,-60.8,-70.0,250.0,112.0,105.24557352802174,38.30625605247488,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
160.0,13563.0,-62.0,-72.4,245.0,110.0,99.6938565740315,46.48800879147691,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
155.0,13759.0,-62.7,-73.7,245.0,109.0,98.78754878699486,46.065390529736206,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
150.0,13960.0,-63.1,-75.1,245.0,111.0,100.60016436106815,46.91062705321761,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
148.0,14043.0,-63.3,-75.3,247.0,108.0,99.41452417286355,42.19896187684157,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
143.0,14256.0,-61.9,-74.9,252.0,102.0,97.00776466210566,31.519733426244652,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
140.0,14388.0,-62.2,-76.0,255.0,98.0,94.6607309763287,25.36426642004702,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
139.0,14433.0,-62.3,-76.3,256.0,96.0,93.14838972249566,23.224501977568107,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
134.0,14660.0,-61.9,-76.9,261.0,84.0,82.96582060999157,13.140495063379406,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
128.0,14945.0,-62.5,-77.5,267.0,69.0,68.9054378980656,3.611180980763157,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
121.0,15288.0,-64.2,-79.9,275.0,51.0,50.80592960267902,-4.444942880130553,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
113.0,15705.0,-66.2,-82.8,250.0,34.0,31.949549106720887,11.62868487307273,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
108.0,15981.0,-67.6,-84.7,235.0,43.0,35.223537904426635,24.663786763094993,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
101.0,16389.0,-69.6,-87.5,240.0,50.0,43.30127018922192,25.00000000000002,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
100.0,16450.0,-69.9,-87.9,240.0,49.0,42.43524478543748,24.50000000000002,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
96.0,16692.0,-71.2,-90.1,240.0,44.0,38.10511776651529,22.00000000000002,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
95.2,16741.0,-71.5,-90.5,240.0,45.0,38.971143170299726,22.50000000000002,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
